Department_ID,Department_Name,DOE
IDEPT4670,Aerospace Engineering,31-05-1961
IDEPT5528,Biosciences and Bioengineering,28-06-1943
IDEPT3115,Chemical Engineering,01-05-1940
IDEPT5881,Chemistry,08-06-2013
IDEPT4938,Civil Engineering,27-10-1941
IDEPT1423,Computer Science & Engineering,03-05-1941
IDEPT4132,Earth Sciences,19-08-1982
IDEPT2054,Electrical Engineering,27-05-1985
IDEPT2357,Energy Science and Engineering,28-03-2007
IDEPT1537,Humanities & Social Science,14-09-1953
IDEPT8379,Mathematics,03-01-1989
IDEPT1825,Mechanical Engineering,21-09-1971
IDEPT8313,Metallurgical Engineering & Materials Science,14-04-1992
IDEPT2425,Physics,14-09-1947
IDEPT1378,Industrial Design Centre,16-02-1993
IDEPT5127,Application Software Centre (ASC),22-10-1951
IDEPT5408,Centre for Research in Nanotechnology and Science (CRNTS),26-12-1985
IDEPT1142,Centre for Aerospace Systems Design and Engineering (CASDE),25-07-1966
IDEPT1367,Computer Centre (CC),05-04-2001
IDEPT7783,Centre for Distance Engineering Education Programme (CDEEP),10-12-1957
IDEPT3062,Centre for Environmental Science and Engineering (CESE),23-05-1973
IDEPT1388,Centre for Policy Studies (CPS),05-01-1999
IDEPT7005,Centre of Studies in Resources Engineering (CSRE),22-08-1966
IDEPT1533,Centre for Technology Alternatives for Rural Areas (CTARA),14-11-1956
IDEPT3778,Centre for Formal Design and Verification of Software (CFDVS),22-05-1958
IDEPT4055,Centre for Urban Science and Engineering (C-USE),25-12-1966
IDEPT2601,Centre for Entrepreneurship (DSCE),10-07-1949
IDEPT1677,ABC-EDS Research Academy,25-09-2002
IDEPT7626,National Centre for Aerospace Innovation and Research (NCAIR),18-07-1961
IDEPT5109,National Center of Excellence in Technology for Internal Security (NCETIS),16-11-1956
IDEPT1615,National Centre for Mathematics (NCM),08-12-1988
IDEPT3868,Center for Learning and Teaching (PPCCLT),26-03-1982
IDEPT6347,Sophisticated Analytical Instrument Facility (SAIF),17-06-1968
IDEPT8598,Technology and Design (TCTD),27-04-1941
IDEPT8473,Centre for Bioengineering (WRCB),25-06-2001
IDEPT1096,School of Management,07-03-2000
IDEPT4308,Climate Studies,26-05-1942
IDEPT1836,Educational Technology,04-07-1965
IDEPT8825,Industrial Engineering and Operations Research (IEOR),16-11-1988
IDEPT5564,Systems and Control Engineering,16-10-1981
